2023-11-01 05:38:13,649 INFO    StreamThr :2783034 [internal.py:wandb_internal():86] W&B internal server running at pid: 2783034, started at: 2023-11-01 05:38:13.647844
2023-11-01 05:38:13,657 DEBUG   HandlerThread:2783034 [handler.py:handle_request():144] handle_request: status
2023-11-01 05:38:13,663 INFO    WriterThread:2783034 [datastore.py:open_for_write():85] open: /import/home/nlpintern/shuoxing/SPTP-ABD-assignments/assignment2/wandb/run-20231101_053813-iy3p607j/run-iy3p607j.wandb
2023-11-01 05:38:13,669 DEBUG   SenderThread:2783034 [sender.py:send():369] send: header
2023-11-01 05:38:13,683 DEBUG   SenderThread:2783034 [sender.py:send():369] send: run
2023-11-01 05:38:14,308 INFO    SenderThread:2783034 [dir_watcher.py:__init__():211] watching files in: /import/home/nlpintern/shuoxing/SPTP-ABD-assignments/assignment2/wandb/run-20231101_053813-iy3p607j/files
2023-11-01 05:38:14,309 INFO    SenderThread:2783034 [sender.py:_start_run_threads():1100] run started: iy3p607j with start time 1698788293.645133
2023-11-01 05:38:14,310 DEBUG   SenderThread:2783034 [sender.py:send_request():396] send_request: summary_record
2023-11-01 05:38:14,312 INFO    SenderThread:2783034 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-11-01 05:38:14,332 DEBUG   HandlerThread:2783034 [handler.py:handle_request():144] handle_request: check_version
2023-11-01 05:38:14,333 DEBUG   SenderThread:2783034 [sender.py:send_request():396] send_request: check_version
2023-11-01 05:38:14,426 DEBUG   HandlerThread:2783034 [handler.py:handle_request():144] handle_request: run_start
2023-11-01 05:38:14,472 DEBUG   HandlerThread:2783034 [system_info.py:__init__():31] System info init
2023-11-01 05:38:14,473 DEBUG   HandlerThread:2783034 [system_info.py:__init__():46] System info init done
2023-11-01 05:38:14,473 INFO    HandlerThread:2783034 [system_monitor.py:start():181] Starting system monitor
2023-11-01 05:38:14,475 INFO    HandlerThread:2783034 [system_monitor.py:probe():201] Collecting system info
2023-11-01 05:38:14,475 INFO    SystemMonitor:2783034 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-11-01 05:38:14,480 INFO    SystemMonitor:2783034 [interfaces.py:start():190] Started cpu monitoring
2023-11-01 05:38:14,481 INFO    SystemMonitor:2783034 [interfaces.py:start():190] Started disk monitoring
2023-11-01 05:38:14,490 INFO    SystemMonitor:2783034 [interfaces.py:start():190] Started gpu monitoring
